SOC2018Code,SOC2018Title,CIP2020Code,CIP2020Title
19-1042,"Medical Scientists, Except Epidemiologists",26.1004,Toxicology.
19-1042,"Medical Scientists, Except Epidemiologists",26.1005,Molecular Toxicology.
19-1042,"Medical Scientists, Except Epidemiologists",26.1006,Environmental Toxicology.
19-1042,"Medical Scientists, Except Epidemiologists",26.1007,Pharmacology and Toxicology.
19-1042,"Medical Scientists, Except Epidemiologists",26.1099,"Pharmacology and Toxicology, Other."
19-1042,"Medical Scientists, Except Epidemiologists",26.1102,Biostatistics.
19-1042,"Medical Scientists, Except Epidemiologists",26.1309,Epidemiology.
19-1042,"Medical Scientists, Except Epidemiologists",26.1401,Molecular Medicine.
19-1042,"Medical Scientists, Except Epidemiologists",26.1502,Neuroanatomy.
19-1042,"Medical Scientists, Except Epidemiologists",26.1503,Neurobiology and Anatomy.
19-1042,"Medical Scientists, Except Epidemiologists",26.1504,Neurobiology and Behavior.
19-1042,"Medical Scientists, Except Epidemiologists",26.1599,"Neurobiology and Neurosciences, Other."
19-1042,"Medical Scientists, Except Epidemiologists",30.1001,Biopsychology.
19-1042,"Medical Scientists, Except Epidemiologists",30.1101,Gerontology.
19-1042,"Medical Scientists, Except Epidemiologists",42.2709,Psychopharmacology.
19-1042,"Medical Scientists, Except Epidemiologists",45.0205,Forensic Anthropology.
19-1042,"Medical Scientists, Except Epidemiologists",51.1401,Medical Science/Scientist.
19-1042,"Medical Scientists, Except Epidemiologists",51.1402,Clinical and Translational Science.
19-1042,"Medical Scientists, Except Epidemiologists",51.1405,Tropical Medicine.
19-1042,"Medical Scientists, Except Epidemiologists",51.1499,"Medical Clinical Sciences/Graduate Medical Studies, Other."
19-1042,"Medical Scientists, Except Epidemiologists",51.2003,Pharmaceutics and Drug Design.
19-1042,"Medical Scientists, Except Epidemiologists",51.2004,Medicinal and Pharmaceutical Chemistry.
19-1042,"Medical Scientists, Except Epidemiologists",51.2005,Natural Products Chemistry and Pharmacognosy.
19-1042,"Medical Scientists, Except Epidemiologists",51.2010,Pharmaceutical Sciences.
19-1042,"Medical Scientists, Except Epidemiologists",51.2202,Environmental Health.
19-1042,"Medical Scientists, Except Epidemiologists",61.0101,"Combined Medical Residency/Fellowship Program, General."
19-1042,"Medical Scientists, Except Epidemiologists",61.0102,Diagnostic Radiology/Nuclear Medicine Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0103,Emergency Medicine/Anesthesiology Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0104,Family Medicine/Emergency Medicine Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0105,Family Medicine/Osteopathic Neuromusculoskeletal Medicine Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0106,Family Medicine/Preventive Medicine Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0107,Family Medicine/Psychiatry Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0108,Internal Medicine/Anesthesiology Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0109,Internal Medicine/Dermatology Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0110,Internal Medicine/Emergency Medicine Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0111,Internal Medicine/Emergency Medicine/Critical Care Medicine Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0112,Internal Medicine/Family Medicine Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0113,Internal Medicine/Medical Genetics and Genomics Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0114,Internal Medicine/Neurology Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0115,Internal Medicine/Pediatrics Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0116,Internal Medicine/Preventive Medicine Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0117,Internal Medicine/Psychiatry Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0118,Medical Genetics and Genomics/Maternal-Fetal Medicine Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0119,Pediatrics/Anesthesiology Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0120,Pediatrics/Emergency Medicine Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0121,Pediatrics/Medical Genetics and Genomics Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0122,Pediatrics/Physical Medicine & Rehabilitation Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0123,Pediatrics/Psychology/Child-Adolescent Psychology Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0124,Psychiatry/Neurology Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0125,Reproductive Endocrinology and Infertility/Medical Genetics and Genomics Combined Specialty Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0199,"Combined Medical Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.0202,Critical Care Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0203,Geriatric Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0205,Hospice and Palliative Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0206,Integrative Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0208,Medical Toxicology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0209,Neuromuscular Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0210,Pain Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0212,Sleep Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0213,Sports Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0214,Surgery of the Hand Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0215,Telemedicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0216,Undersea and Hyperbaric Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0217,Wilderness Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0218,Women's Health Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0299,"Multiple-Pathway Medical Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.0301,Allergy and Immunology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0399,"Allergy and Immunology Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.0499,"Anesthesiology Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.0502,Dermatopathology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0503,Pediatric Dermatology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0599,"Dermatology Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.0602,Disaster Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0603,Emergency Medical Services Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0699,"Emergency Medicine Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.0799,"Family Medicine Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.0804,Cardiovascular Disease Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0805,Clinical Cardiac Electrophysiology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0806,"Endocrinology, Diabetes, and Metabolism Fellowship Program."
19-1042,"Medical Scientists, Except Epidemiologists",61.0807,Gastroenterology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0808,Hematology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0809,Hematology-Oncology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0810,Infectious Disease Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0811,Interventional Cardiology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0812,Nephrology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0813,Medical Oncology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0814,Pulmonary Disease Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0816,Rheumatology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0818,Transplant Hepatology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0899,"Internal Medicine Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.0901,Clinical Biochemical Genetics Residency Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0902,Clinical Genetics and Genomics Residency Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0903,Laboratory Genetics and Genomics Residency Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0904,Medical Biochemical Genetics Residency Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.0999,"Medical Genetics and Genomics Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.1099,"Neurological Surgery Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.1103,Clinical Neurophysiology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1104,Epilepsy Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1105,Headache Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1106,Neurodevelopmental Disabilities Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1107,Vascular Neurology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1199,"Neurology Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.1299,"Nuclear Medicine Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.1302,Gynecologic Oncology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1303,Maternal and Fetal Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1304,Reproductive Endocrinology/Infertility Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1399,"Obstetrics and Gynecology Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.1499,"Ophthalmology Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.1502,Musculoskeletal Oncology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1503,Orthopedic Sports Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1504,Orthopedic Surgery of the Spine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1505,Pediatric Orthopedics Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1599,"Orthopedic Surgery Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.1699,"Osteopathic Medicine Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.1702,Neurotology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1703,Pediatric Otolaryngology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1799,"Otolaryngology Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.1804,Blood Banking/Transfusion Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1805,Chemical Pathology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1806,Cytopathology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1807,Forensic Pathology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1808,Hematological Pathology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1809,Immunopathology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1810,Laboratory Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1811,Medical Microbiology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1812,Molecular Genetic Pathology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1813,Neuropathology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1814,Pediatric Pathology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1815,Radioisotopic Pathology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1899,"Pathology Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.1902,Adolescent Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1903,Child Abuse Pediatrics Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1904,Developmental-Behavioral Pediatrics Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1905,Neonatal-Perinatal Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1906,Pediatric Cardiology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1907,Pediatric Critical Care Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1908,Pediatric Emergency Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1909,Pediatric Endocrinology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1910,Pediatric Gastroenterology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1911,Pediatric Hematology-Oncology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1912,Pediatric Infectious Diseases Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1913,Pediatric Nephrology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1914,Pediatric Pulmonology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1915,Pediatric Rheumatology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1917,Pediatric Transplant Hepatology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.1999,"Pediatrics Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.2002,Spinal Cord Injury Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2003,Pediatric Rehabilitation Medicine Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2099,"Physical Medicine and Rehabilitation Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.2103,Plastic Surgery Within the Head and Neck Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2199,"Plastic Surgery Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.2299,"Podiatric Medicine Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.2399,"Preventive Medicine Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.2402,Addiction Psychiatry Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2403,Child and Adolescent Psychiatry Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2404,Consultation-Liaison Psychiatry Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2405,Forensic Psychiatry Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2406,Geriatric Psychiatry Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2499,"Psychiatry Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.2599,"Radiation Oncology Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.2603,Abdominal Radiology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2606,Musculoskeletal Radiology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2607,Neuroradiology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2608,Nuclear Radiology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2609,Pediatric Radiology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2612,Vascular and Interventional Radiology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2699,"Radiology Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.2703,Complex General Surgical Oncology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2704,Congenital Cardiac Surgery Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2705,Pediatric Surgery Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2706,Surgical Critical Care Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2707,Thoracic Surgery Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2708,Vascular Surgery Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2799,"Surgery Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.2802,Pediatric Urology Fellowship Program.
19-1042,"Medical Scientists, Except Epidemiologists",61.2899,"Urology Residency/Fellowship Programs, Other."
19-1042,"Medical Scientists, Except Epidemiologists",61.9999,"Medical Residency/Fellowship Programs, Other."
19-1099,"Life Scientists, All Other",26.0101,"Biology/Biological Sciences, General."
19-1099,"Life Scientists, All Other",26.1301,Ecology.
19-1099,"Life Scientists, All Other",26.1399,"Ecology, Evolution, Systematics and Population Biology, Other."
19-1099,"Life Scientists, All Other",26.9999,"Biological and Biomedical Sciences, Other."
19-1099,"Life Scientists, All Other",30.1701,Behavioral Sciences.
19-1099,"Life Scientists, All Other",30.1801,Natural Sciences.
19-1099,"Life Scientists, All Other",30.1901,Nutrition Sciences.
19-1099,"Life Scientists, All Other",30.4301,Geobiology.
19-1099,"Life Scientists, All Other",42.2706,Behavioral Neuroscience.
19-1099,"Life Scientists, All Other",51.2314,Rehabilitation Science.
19-2011,Astronomers,40.0201,Astronomy.
19-2011,Astronomers,40.0202,Astrophysics.
19-2011,Astronomers,40.0203,Planetary Astronomy and Science.
19-2011,Astronomers,40.0299,"Astronomy and Astrophysics, Other."
19-2011,Astronomers,40.1101,Physics and Astronomy.
19-2012,Physicists,14.1201,Engineering Physics/Applied Physics.
19-2012,Physicists,40.0202,Astrophysics.
19-2012,Physicists,40.0801,"Physics, General."
19-2012,Physicists,40.0802,Atomic/Molecular Physics.
19-2012,Physicists,40.0804,Elementary Particle Physics.
19-2012,Physicists,40.0805,Plasma and High-Temperature Physics.
19-2012,Physicists,40.0806,Nuclear Physics.
19-2012,Physicists,40.0807,Optics/Optical Sciences.
19-2012,Physicists,40.0808,Condensed Matter and Materials Physics.
19-2012,Physicists,40.0809,Acoustics.
19-2012,Physicists,40.0810,Theoretical and Mathematical Physics.
19-2012,Physicists,40.0899,"Physics, Other."
19-2012,Physicists,40.1101,Physics and Astronomy.
19-2012,Physicists,51.2205,Health/Medical  Physics.
19-2021,Atmospheric and Space Scientists,30.3501,Climate Science.
19-2021,Atmospheric and Space Scientists,30.5001,Mathematics and Atmospheric/Oceanic Science.
19-2021,Atmospheric and Space Scientists,40.0401,"Atmospheric Sciences and Meteorology, General."
19-2021,Atmospheric and Space Scientists,40.0402,Atmospheric Chemistry and Climatology.
19-2021,Atmospheric and Space Scientists,40.0403,Atmospheric Physics and Dynamics.
19-2021,Atmospheric and Space Scientists,40.0404,Meteorology.
19-2021,Atmospheric and Space Scientists,40.0499,"Atmospheric Sciences and Meteorology, Other."
19-2031,Chemists,40.0501,"Chemistry, General."
19-2031,Chemists,40.0502,Analytical Chemistry.
19-2031,Chemists,40.0503,Inorganic Chemistry.
19-2031,Chemists,40.0504,Organic Chemistry.
19-2031,Chemists,40.0506,Physical Chemistry.
19-2031,Chemists,40.0507,Polymer Chemistry.
19-2031,Chemists,40.0508,Chemical Physics.
19-2031,Chemists,40.0509,Environmental Chemistry.
19-2031,Chemists,40.0510,Forensic Chemistry.
19-2031,Chemists,40.0511,Theoretical Chemistry.
19-2031,Chemists,40.0512,Cheminformatics/Chemistry Informatics.
19-2031,Chemists,40.0599,"Chemistry, Other."
19-2031,Chemists,40.1002,Materials Chemistry.
19-2031,Chemists,51.2004,Medicinal and Pharmaceutical Chemistry.
19-2032,Materials Scientists,19.0904,Textile Science.
19-2032,Materials Scientists,40.1001,Materials Science.
19-2032,Materials Scientists,40.1002,Materials Chemistry.
19-2032,Materials Scientists,40.1099,"Materials Sciences, Other."
19-2041,"Environmental Scientists and Specialists, Including Health",03.0103,Environmental Studies.
19-2041,"Environmental Scientists and Specialists, Including Health",03.0104,Environmental Science.
19-2041,"Environmental Scientists and Specialists, Including Health",26.1004,Toxicology.
19-2041,"Environmental Scientists and Specialists, Including Health",26.1005,Molecular Toxicology.
19-2041,"Environmental Scientists and Specialists, Including Health",26.1006,Environmental Toxicology.
19-2041,"Environmental Scientists and Specialists, Including Health",30.3201,Marine Sciences.
19-2041,"Environmental Scientists and Specialists, Including Health",30.3301,Sustainability Studies.
19-2041,"Environmental Scientists and Specialists, Including Health",30.4101,Environmental Geosciences.
19-2041,"Environmental Scientists and Specialists, Including Health",30.4401,Geography and Environmental Studies.
19-2041,"Environmental Scientists and Specialists, Including Health",40.0509,Environmental Chemistry.
19-2041,"Environmental Scientists and Specialists, Including Health",51.2202,Environmental Health.
19-2042,"Geoscientists, Except Hydrologists and Geographers",30.3201,Marine Sciences.
19-2042,"Geoscientists, Except Hydrologists and Geographers",30.3801,Earth Systems Science.
19-2042,"Geoscientists, Except Hydrologists and Geographers",30.4101,Environmental Geosciences.
19-2042,"Geoscientists, Except Hydrologists and Geographers",30.4201,Geoarcheaology.
19-2042,"Geoscientists, Except Hydrologists and Geographers",30.4301,Geobiology.
19-2042,"Geoscientists, Except Hydrologists and Geographers",40.0601,"Geology/Earth Science, General."
19-2042,"Geoscientists, Except Hydrologists and Geographers",40.0602,Geochemistry.
19-2042,"Geoscientists, Except Hydrologists and Geographers",40.0603,Geophysics and Seismology.
19-2042,"Geoscientists, Except Hydrologists and Geographers",40.0604,Paleontology.
19-2042,"Geoscientists, Except Hydrologists and Geographers",40.0606,Geochemistry and Petrology.
19-2042,"Geoscientists, Except Hydrologists and Geographers",40.0607,"Oceanography, Chemical and Physical."
19-2042,"Geoscientists, Except Hydrologists and Geographers",40.0699,"Geological and Earth Sciences/Geosciences, Other."
19-2043,Hydrologists,30.3801,Earth Systems Science.
19-2043,Hydrologists,30.4101,Environmental Geosciences.
19-2043,Hydrologists,40.0601,"Geology/Earth Science, General."
19-2043,Hydrologists,40.0605,Hydrology and Water Resources Science.
19-2043,Hydrologists,40.0607,"Oceanography, Chemical and Physical."
19-2099,"Physical Scientists, All Other",30.1801,Natural Sciences.
19-2099,"Physical Scientists, All Other",30.3201,Marine Sciences.
19-2099,"Physical Scientists, All Other",40.9999,"Physical Sciences, Other."
19-3011,Economists,01.0103,Agricultural Economics.
19-3011,Economists,27.0305,Financial Mathematics.
19-3011,Economists,30.3901,Economics and Computer Science.
19-3011,Economists,30.4001,Economics and Foreign Language/Literature.
19-3011,Economists,30.4901,Mathematical Economics.
19-3011,Economists,30.5101,"Philosophy, Politics, and Economics."
19-3011,Economists,45.0601,"Economics, General."
19-3011,Economists,45.0602,Applied Economics.
19-3011,Economists,45.0603,Econometrics and Quantitative Economics.
19-3011,Economists,45.0604,Development Economics and International Development.
19-3011,Economists,45.0605,International Economics.
19-3011,Economists,45.0699,"Economics, Other."
19-3011,Economists,45.1004,Political Economy.
19-3011,Economists,51.2007,Pharmacoeconomics/Pharmaceutical Economics.
19-3011,Economists,52.0601,Business/Managerial Economics.
19-3022,Survey Researchers,13.0608,Institutional Research.
19-3022,Survey Researchers,27.0501,"Statistics, General."
19-3022,Survey Researchers,27.0601,"Applied Statistics, General."
19-3022,Survey Researchers,45.0102,Research Methodology and Quantitative Methods.
19-3022,Survey Researchers,45.0601,"Economics, General."
19-3022,Survey Researchers,45.0602,Applied Economics.
19-3022,Survey Researchers,52.0601,Business/Managerial Economics.
19-3022,Survey Researchers,52.1302,Business Statistics.
19-3022,Survey Researchers,52.1402,Marketing Research.
19-3032,Industrial-Organizational Psychologists,42.0101,"Psychology, General."
19-3032,Industrial-Organizational Psychologists,42.2804,Industrial and Organizational Psychology.
19-3033,Clinical and Counseling Psychologists,42.0101,"Psychology, General."
19-3033,Clinical and Counseling Psychologists,42.2703,Developmental and Child Psychology.
19-3033,Clinical and Counseling Psychologists,42.2801,Clinical Psychology.
19-3033,Clinical and Counseling Psychologists,42.2803,Counseling Psychology.
19-3033,Clinical and Counseling Psychologists,42.2807,Clinical Child Psychology.
19-3033,Clinical and Counseling Psychologists,42.2809,Geropsychology.
19-3033,Clinical and Counseling Psychologists,42.2810,Health/Medical Psychology.
19-3033,Clinical and Counseling Psychologists,42.2811,Family Psychology.
19-3033,Clinical and Counseling Psychologists,42.2814,Applied Behavior Analysis.
19-3033,Clinical and Counseling Psychologists,51.1507,Psychoanalysis and Psychotherapy.
19-3034,School Psychologists,42.2805,School Psychology.
19-3034,School Psychologists,42.2806,Educational Psychology.
19-3039,"Psychologists, All Other",19.0702,Adult Development and Aging.
19-3039,"Psychologists, All Other",19.0706,Child Development.
19-3039,"Psychologists, All Other",19.0711,Early Childhood and Family Studies.
19-3039,"Psychologists, All Other",30.1701,Behavioral Sciences.
19-3039,"Psychologists, All Other",42.0101,"Psychology, General."
19-3039,"Psychologists, All Other",42.2701,Cognitive Psychology and Psycholinguistics.
19-3039,"Psychologists, All Other",42.2702,Comparative Psychology.
19-3039,"Psychologists, All Other",42.2704,Experimental Psychology.
19-3039,"Psychologists, All Other",42.2705,Personality Psychology.
19-3039,"Psychologists, All Other",42.2706,Behavioral Neuroscience.
19-3039,"Psychologists, All Other",42.2707,Social Psychology.
19-3039,"Psychologists, All Other",42.2708,Psychometrics and Quantitative Psychology.
19-3039,"Psychologists, All Other",42.2709,Psychopharmacology.
19-3039,"Psychologists, All Other",42.2799,"Research and Experimental Psychology, Other."
19-3039,"Psychologists, All Other",42.2802,Community Psychology.
19-3039,"Psychologists, All Other",42.2806,Educational Psychology.
19-3039,"Psychologists, All Other",42.2807,Clinical Child Psychology.
19-3039,"Psychologists, All Other",42.2808,Environmental Psychology.
19-3039,"Psychologists, All Other",42.2810,Health/Medical Psychology.
19-3039,"Psychologists, All Other",42.2811,Family Psychology.
19-3039,"Psychologists, All Other",42.2812,Forensic Psychology.
19-3039,"Psychologists, All Other",42.2813,Applied Psychology.
19-3039,"Psychologists, All Other",42.2814,Applied Behavior Analysis.
19-3039,"Psychologists, All Other",42.2815,Performance and Sport Psychology.
19-3039,"Psychologists, All Other",42.2816,Somatic Psychology.
19-3039,"Psychologists, All Other",42.2817,Transpersonal/Spiritual Psychology.
19-3039,"Psychologists, All Other",42.2899,"Clinical, Counseling and Applied Psychology, Other."
19-3039,"Psychologists, All Other",42.9999,"Psychology, Other."
19-3039,"Psychologists, All Other",45.0401,Criminology.
19-3041,Sociologists,45.0102,Research Methodology and Quantitative Methods.
19-3041,Sociologists,45.0103,Survey Research/Methodology.
19-3041,Sociologists,45.0401,Criminology.
19-3041,Sociologists,45.0501,Demography and Population Studies.
19-3041,Sociologists,45.0502,Applied Demography.
19-3041,Sociologists,45.0599,"Demography, Other."
19-3041,Sociologists,45.1101,"Sociology, General."
19-3041,Sociologists,45.1102,Applied/Public Sociology.
19-3041,Sociologists,45.1103,Rural Sociology.
