CIP,CIPTitle
61.0999,"Medical Genetics and Genomics Residency/Fellowship Programs, Other."
61.1001,Neurological Surgery Residency Program.
61.1099,"Neurological Surgery Residency/Fellowship Programs, Other."
61.1101,Neurology Residency Program.
61.1102,Child Neurology Residency Program.
61.1103,Clinical Neurophysiology Fellowship Program.
61.1104,Epilepsy Fellowship Program.
61.1105,Headache Medicine Fellowship Program.
61.1106,Neurodevelopmental Disabilities Fellowship Program.
61.1107,Vascular Neurology Fellowship Program.
61.1199,"Neurology Residency/Fellowship Programs, Other."
61.1201,Nuclear Medicine Residency Program.
61.1299,"Nuclear Medicine Residency/Fellowship Programs, Other."
61.1301,Obstetrics and Gynecology Residency Program.
61.1302,Gynecologic Oncology Fellowship Program.
61.1303,Maternal and Fetal Medicine Fellowship Program.
61.1304,Reproductive Endocrinology/Infertility Fellowship Program.
61.1399,"Obstetrics and Gynecology Residency/Fellowship Programs, Other."
61.1401,Ophthalmology Residency Program.
61.1499,"Ophthalmology Residency/Fellowship Programs, Other."
61.1501,Orthopedic Surgery Residency Program.
61.1502,Musculoskeletal Oncology Fellowship Program.
61.1503,Orthopedic Sports Medicine Fellowship Program.
61.1504,Orthopedic Surgery of the Spine Fellowship Program.
61.1505,Pediatric Orthopedics Fellowship Program.
61.1599,"Orthopedic Surgery Residency/Fellowship Programs, Other."
61.1601,Osteopathic Neuromusculoskeletal Medicine Residency Program.
61.1699,"Osteopathic Medicine Residency/Fellowship Programs, Other."
61.1701,Otolaryngology Residency Program.
61.1702,Neurotology Fellowship Program.
61.1703,Pediatric Otolaryngology Fellowship Program.
61.1799,"Otolaryngology Residency/Fellowship Programs, Other."
61.1801,Combined Anatomic and Clinical Pathology Residency Program.
61.1802,Anatomic Pathology Residency Program.
61.1803,Clinical Pathology Residency Program.
61.1804,Blood Banking/Transfusion Medicine Fellowship Program.
61.1805,Chemical Pathology Fellowship Program.
61.1806,Cytopathology Fellowship Program.
61.1807,Forensic Pathology Fellowship Program.
61.1808,Hematological Pathology Fellowship Program.
61.1809,Immunopathology Fellowship Program.
61.1810,Laboratory Medicine Fellowship Program.
61.1811,Medical Microbiology Fellowship Program.
61.1812,Molecular Genetic Pathology Fellowship Program.
61.1813,Neuropathology Fellowship Program.
61.1814,Pediatric Pathology Fellowship Program.
61.1815,Radioisotopic Pathology Fellowship Program.
61.1899,"Pathology Residency/Fellowship Programs, Other."
61.1901,Pediatrics Residency Program.
61.1902,Adolescent Medicine Fellowship Program.
61.1903,Child Abuse Pediatrics Fellowship Program.
61.1904,Developmental-Behavioral Pediatrics Fellowship Program.
61.1905,Neonatal-Perinatal Medicine Fellowship Program.
61.1906,Pediatric Cardiology Fellowship Program.
61.1907,Pediatric Critical Care Medicine Fellowship Program.
61.1908,Pediatric Emergency Medicine Fellowship Program.
61.1909,Pediatric Endocrinology Fellowship Program.
61.1910,Pediatric Gastroenterology Fellowship Program.
61.1911,Pediatric Hematology-Oncology Fellowship Program.
61.1912,Pediatric Infectious Diseases Fellowship Program.
61.1913,Pediatric Nephrology Fellowship Program.
61.1914,Pediatric Pulmonology Fellowship Program.
61.1915,Pediatric Rheumatology Fellowship Program.
61.1917,Pediatric Transplant Hepatology Fellowship Program.
61.1999,"Pediatrics Residency/Fellowship Programs, Other."
61.2001,Physical Medicine and Rehabilitation Residency Program.
61.2002,Spinal Cord Injury Medicine Fellowship Program.
61.2003,Pediatric Rehabilitation Medicine Fellowship Program.
61.2099,"Physical Medicine and Rehabilitation Residency/Fellowship Programs, Other."
61.2101,Plastic Surgery Residency Program.
61.2102,Integrated Plastic Surgery Residency Program.
61.2103,Plastic Surgery Within the Head and Neck Fellowship Program.
61.2199,"Plastic Surgery Residency/Fellowship Programs, Other."
61.2201,Podiatric Medicine and Surgery Residency Program.
61.2299,"Podiatric Medicine Residency/Fellowship Programs, Other."
61.2301,Public Health and General Preventive Medicine Residency Program.
61.2302,Aerospace Medicine Residency Program.
61.2303,Occupational Medicine Residency Program.
61.2399,"Preventive Medicine Residency/Fellowship Programs, Other."
61.2401,Psychiatry Residency Program.
61.2402,Addiction Psychiatry Fellowship Program.
61.2403,Child and Adolescent Psychiatry Fellowship Program.
61.2404,Consultation-Liaison Psychiatry Fellowship Program.
61.2405,Forensic Psychiatry Fellowship Program.
61.2406,Geriatric Psychiatry Fellowship Program.
61.2499,"Psychiatry Residency/Fellowship Programs, Other."
61.2501,Radiation Oncology Residency Program.
61.2599,"Radiation Oncology Residency/Fellowship Programs, Other."
61.2601,Diagnostic Radiology Residency Program.
61.2602,Integrated Interventional Radiology Residency Program.
61.2603,Abdominal Radiology Fellowship Program.
61.2604,Diagnostic Radiologic Physics Residency Program.
61.2605,Medical Nuclear Physics Residency Program.
61.2606,Musculoskeletal Radiology Fellowship Program.
61.2607,Neuroradiology Fellowship Program.
61.2608,Nuclear Radiology Fellowship Program.
61.2609,Pediatric Radiology Fellowship Program.
61.2610,Radiologic Physics Residency Program.
61.2611,Therapeutic Radiologic Physics Residency Program.
61.2612,Vascular and Interventional Radiology Fellowship Program.
61.2699,"Radiology Residency/Fellowship Programs, Other."
61.2701,General Surgery Residency Program.
61.2702,Colon and Rectal Surgery Residency Program.
61.2703,Complex General Surgical Oncology Fellowship Program.
61.2704,Congenital Cardiac Surgery Fellowship Program.
61.2705,Pediatric Surgery Fellowship Program.
61.2706,Surgical Critical Care Fellowship Program.
61.2707,Thoracic Surgery Fellowship Program.
61.2708,Vascular Surgery Fellowship Program.
61.2799,"Surgery Residency/Fellowship Programs, Other."
61.2801,Urology Residency Program.
61.2802,Pediatric Urology Fellowship Program.
61.2899,"Urology Residency/Fellowship Programs, Other."
61.9999,"Medical Residency/Fellowship Programs, Other."
