PROVIDERID,NAME,SCHOOLIDENTIFICATIONNUMBER,STREET1,STREET2,CITY,STATE,ZIP,COUNTY,MSTREET1,MSTREET2,MCITY,MSTATE,MZIP,CONTACTFIRSTNAME,CONTACTLASTNAME,CONTACTTITLE,PHONE,PHONEEXTENSION,FAX,WEBSITE,EMAIL,LICENSINGAGENCYID,TYPEID,NONGOVAPPROVAL,CERTAPPROVALEXP,CUSTOMIZED,DISTANCELEARNING,SPEAKSPANISH,OTHERLANGUAGES,LANGUAGES,CAREERASSIST,ONESTOPCAREER,PERSONALASSIST,ACCESSAJBATB,CHILDCARE,ASSISTOBTAININGCHILDCARE,EVENINGCOURSES,ACCESSFORDISABLED,BUSROUTE1,BUSROUTE2,TRNROUTE1,TRNROUTE2,WIBCOMMENT,STATECOMMENT,DTSUBMITTED,STATUSNAME
8555,Canine Trainers Academy - PVS,453067919000,24 Newark Pompton Turnpike,Suite 206,Little Falls,NJ,7424,Passaic,24 Newark Pompton Turnpike,,Little Falls,NJ,7424,David,Muriello,School Director,9739254377,,8622396147,http://www.catchdogtrainers.com/,studentsupport@catchdogtrainers.com,1,5,,12/31/2021 12:00:00 AM,1,1,2,2,,1,2,2,2,2,2,2,2,n/a,,n/a,,,"""12/31/21 PCS/ETPL renewal expiration - SAZ

12/31/2019 - ETPL renewal application approval expiration date. SH

7/3/18 suspended for expired lease - SAZ (7/31/18 reinstated)

11/9/2017 - ETPL renewal application approval expiration date. SH
6/30/17 suspended for expired fire - SAZ

Updated COA exp date on 10/6/16 to 12/31/17. DBarry.""",2/22/2012 3:16:38 PM,Approved
8535,"""Dux Education, LLC - PCS""",450574514000,Taffaro Plaza - 4914 Kennedy Boulevard,Suite 205,West New York,NJ,7093,Hudson,Taffaro Plaza - 4914 Kennedy Boulevard,Suite 205,West New York,NJ,7093,Gustavo,Gonzalez,Director,2013055994,,2013055995,,ggonzalez@duxed.com,1,5,,11/30/2021 12:00:00 AM,1,1,1,1,"""French, Portuguese, Russian, Spanish""",1,1,1,1,2,1,1,2,NJ Transit Kennedy Boulevard Routes,NJ Transit Bergenline Routes,NJ Light Rail Hudson-Bergen,,,"""11/30/2021 - ETPL Renewal Approval Expiration Date. JH

8/13/2020 suspended for expired fire - SAZ (12/22/2020 reinstated)

7/17/2020 suspended for non-compliance of 1st/2nd quarter student record reporting - SAZ (7/20/2020 reinstated)

11/30/19-ETPL Renewal Approval Expiration Date. DBailey

8/16/19 suspended for expired fire; annual report - SAZ (9/19/19 reinstated)

7/16/19 suspended for non-compliance of 2nd quarter student reporting - SAZ

4/29/19 suspended for expired TPB - SAZ (5/23/19 reinstated)

3/25/19 suspended for expired liability - SAZ (4/9/19 reinstated)

9/5/18 suspended for expired fire, lease - SAZ (9/14/18 reinstated)
03/31/18-ETPL Initial Approval Expiration Date. JH
1/16/18 suspended for non-compliance of 4th quarter reporting requirements - SAZ (reinstated)
5/30/17 suspended for expired fire, liability - SAZ
Provider did not renew approval. Suspended from ETPL on 3/7/14. MS
Renewal rec'd. put back on ETPL on 5/1/14. MS

Suspended 8/17/15 failure to report student records for calendar year 2014. DBarry. 
Reinstated on 1/22/16 with uploaded student records. DBarry.""",11/22/2011 2:20:47 PM,Approved
8572,Cutting Edge Academy,453848604000,45 Sunset Strip,Route 10 East,Succasunna,NJ,7876,Morris,45 Sunset Strip,Route 10 East,Succasunna,NJ,7876,Nelly,Hazapis,Admissions,8622517290,12,8622517289,www.cuttingedgeacademynj.com,nelly@cuttingedgeacademynj.com,2,19,,7/31/2021 12:00:00 AM,2,2,1,2,,1,1,1,2,2,2,1,2,n/a,,n/a,,,"""7/31/2021- ETPL Renewal Approval Expiration Date. DBailey

7/31/2019 - ETPL Renewal Approval Expiration Date. SH

11/18/2017 - ETPL Renewal Approval Expiration Date. DBarry. 
8/2/17 suspended for expired COA - SAZ (10/19/17 reinstated)
Reinstated 2/3/16 with current certificate. DBarry. 
Suspended 8/17/15 failure to report student records for calendar year 2014 and expired certificate. DBarry.""",4/11/2012 3:13:42 PM,Approved
8559,Center for Family Services - WFNJ,223669704000,101 Woodcrest Road,Suite 127,Cherry Hill,NJ,8003,Camden,101 Woodcrest Road,,Cherry Hill,NJ,8003,Anita,Corriveau,Program Coordinator,8566190192,,8566190195,www.centerffs.org,Acorriveau@centerffs.org,220,6,,6/30/2021 12:00:00 AM,2,2,1,2,,1,1,1,1,2,1,2,1,,,Located near PATCO Woodcrest Station.,,,"""6/30/2021 WFNJ contract expiration - SAZ
6/30/20 WFNJ contract expiration - SAZ

6/30/19 - ETPL WFNJ application approval expiration date. SAZ

7/3/18 suspended for expired lease - SAZ (awaiting for relocation of One-Stop, per J. Friedman)

11/23/2017 - ETPL renewal application approval expiration date. SH""",2/24/2012 4:25:41 PM,Approved
8908,Warren County Community College - Phillipsburg,22222376658002,WCCC PEC,445 Marshall Street,Phillipsburg,NJ,8865,Warren,445 Marshall Street,,Phillipsburg,NJ,8865,Eve,Azar,"""Vice President, Corporate and Continuing Education""",9088352432,,9088780170,www.warren.edu/,azar@warren.edu,16,3,"""Middle States, AAMA, NJ Dept. of Health, ASPT""",,1,1,1,1,"""German, Spanish""",1,1,1,1,2,1,1,1,Warren County Shuttle,,None available,,,"""11/26/2021 - ETPL Renewal Application Expiration Date. JH 12/8/19 - ETPL Renewal Application Expiration Date. JH
2/4/17 No ETPL renewal app - SAZ""",9/16/2016 9:26:18 AM,Approved
8011,"""EEG, Inc. - dba Empire Beauty School - Cherry Hill""",20893905301,2100 State Highway #38,,Cherry Hill,NJ,8002,Camden,2100 State Highway #38,,Cherry Hill,NJ,8002,Jeff,Petritsch,Student Account Supervisor,5704294321,2256,5704294256,www.empire.edu,jpetritsch@empire.edu,2,19,,7/31/2021 12:00:00 AM,1,2,2,2,,1,2,2,2,2,2,1,1,none,,,,,"""11/27/21- ETPL Renewal Approval Expiration date. DBailey
8/24/2019 - ETPL Renewal Application approval date. JH
09/19/2017 - ETPL Renewal Application approval date. SH
8/2/17 suspended for expired COA - SAZ (8/4/17 reinstated)
Changed FEIN on 11/24/14 to match FEIN of company that bought out 8 schools. DB 11/24/14""",7/20/2006 4:24:52 PM,Approved
322,PC Age Career Institute - Iselin - PCS,223705915001,120 Wood Avenue South,"""Suite 511, 5th Floor""",Iselin,NJ,8830,Middlesex,120 Wood Avenue South,"""Suite 511, 5th Floor""",Iselin,NJ,8830,Habiba,Chaudhry,Director,7322873622,13,7322874511,http://www.pcage.com,sherilyng@pcage.edu,1,5,Accrediting Council for Independent Colleges and Schools (ACICS),11/30/2021 12:00:00 AM,2,2,1,1,Indic/Hindu,1,1,1,1,2,2,1,1,NJ Transit south and north bound Metropark bus station is within walking distanc,,NJ Transit south and north bound Metropark bus station is within walking distanc,,,"""11/30/2021 PCS/ETPL renewal expiration - SAZ

11/30/19-ETPL Renewal Approval Expiration Date, DBailey

10/3/19 suspended for expired bond - SAZ (10/10/19 reinstated)

8/29/19 suspended for expired liability - SAZ (9/3/19 reinstated)

8/2/19 suspended for expired fire - SAZ (8/16/19 reinstated)

10/24/2017 - ETPL Renewal application approval expiration date. SH

8/23/17 suspended for expired liability - SAZ (8/31/17 reinstated)
10/03/2016 - ETPL renewal application denied. SH

09/21/2016 - ETPL renewal application received and is incomplete. SH

12/21/16 Suspended PCS cert expired - SAZ (reinstated 2/2/17

Change in location from Edison to Iselin 3/9/15 DBarry.""",1/1/2002 12:00:00 AM,Approved
791,Workforce Advantage - Elizabeth - PCS,221902265003,49 Broad Street,2nd Floor,Elizabeth,NJ,7201,Union,66 Elmora  Ave.,,Elizabeth,NJ,7202,Yunia,Labaut,Director,9083552288,,9083552239,Workforceadvantageusa.com,Ylabaut@workforceadvantageusa.com,1,5,,8/31/2021 12:00:00 AM,1,2,1,2,Other Languages,1,1,1,1,2,1,1,2,24,62,NJ Transit -Trenton-New  York,,,"""8/31/2021 PCS/ETPL expiration - SAZ

1/15/2021 suspended for expired fire - SAZ (1/29/2021 reinstated)

8/31/2019 - ETPL renewal application approval AL

10/18/18 suspended for expired lease - SAZ (10/29/18 reinstated)

11/16/2017 - ETPL renewal application approval expiration date. SH
11/8/17 expired liability - SAZ (reinstated)
9/12/17 updated COA - SAZ
5/1/17 Transitioned to PCS - SAZ

Updated cert exp date to 2/28/18 on 9/9/16. DBarry""",5/26/2000 9:02:11 PM,Approved
8803,American Institute of Medical Sciences & Education - Edison - PCS,201077437001,2672 Woodbridge Avenue,,Edison,NJ,8837,Middlesex,2672 Woodbridge Avenue,,Edison,NJ,8837,Barry,Ferguson,Campus Director,9082220002,334,9084506111,www.aimseducation.edu,barry@aimseducation.edu,1,5,MSA-CESS (Middle States Association for Commission on Higher Secondary Schools),8/31/2021 12:00:00 AM,1,2,1,1,Indic/Hindu,1,1,1,1,2,2,1,2,Bus # 813 stops directly in front of the school building,Bus # 814 both stops within walking distance of the school building,,,,"""8/31/21 PCS/ETPL renewal expiration - SAZ

08/31/2019 - ETPL Renewal application approval expiration date. SH

9/6/17 COA updated - SAZ
10/20/17- ETPL Approval Renewal Expiration date. DBailey
Reinstated and updated cert exp date to 8/31/17 on 8/31/16. DBarry. 
5/10/2016 suspended for failure to upload student records SHarris""",10/9/2015 10:44:49 AM,Approved
8499,"""The Joe Kubert School of Cartoon and Graphic Art, Inc. - PCS""",222115390000,37 Myrtle Avenue,,Dover,NJ,7801,Morris,37 Myrtle Avenue,,Dover,NJ,7801,Carol,Thomas,Director,9733611327,,9733611844,www.kubertschool.edu,cthomas@kubertschool.edu; director@kubertschool.edu,1,5,,9/30/2021 12:00:00 AM,2,2,2,2,,1,2,1,2,2,2,2,1,Lakeland and NJ Transit,,NJ Transit,,,"""9/30/21 PCS/ETPL renewal expiration - SAZ

5/29/2020 suspended for expired bond - SAZ (6/1/2020 reinstated)

4/7/2020 no students to report for 1st quarter - SAZ

9/30/19- ETPL Renewal Approval expiration date -AL 

8/2/19 suspended for expired fire - SAZ (8/28/19 reinstated)

3/18/19 no enrollments to report for 1st quarter - SAZ
1/8/19 no students to report for 4th quarter - SAZ
7/11/18 suspended for expired fire - SAZ (8/1/18 reinstated)

10/17/17 - ETPL Renewal Approval expiration date. DBailey
10/5/17 COA expired - SAZ
7/5/17 suspended for expired fire - SAZ (reinstated 7/11/2017. SH)
Updated COA exp date on 10/12/16 to 9/30/17 DBarry.
7/5/2016 suspended for expired fire certificate SHarris Reinstated

6/22/2016 suspended for expired tuition bond SHarris Reinstated 

No programs entered yet. Suspended from ETPL pending list on 11/21/11 by MS.""",8/3/2011 3:00:40 PM,Approved
8792,Angels of Mercy Nursing Skills School - PCS,46101285200,505-A White Horse Pike,,Atco,NJ,8004,Camden,505-A White Horse Pike,,Atco,NJ,8004,W. Tameka,Wiggins,Executive Director of Nursing,8568096012,,8568092935,www.angelsofmercynursingschool.com,angelsofmercynursingschool@gmail.com,1,5,,5/31/2021 12:00:00 AM,1,2,1,1,Tagalog (Philipines),1,1,1,1,2,1,1,1,Bus No 554 SOUTH toward ATLANTIC CITY,Bus No 554 NORTH  toward CAMDEN,LINDENWOLD PATCO to ATCO NJT RAIL,ATLANTIC CITY NJT RAIL to ATCO NJT RAIL,,"""5/31/21 ETPL/PCS renewal expiration - SAZ

05/31/2019- ETPL Renewal Approval Expiration. DBailey

2/22/19 suspended for expired TPB - SAZ (2/26/19 reinstated)

4/11/18 suspended for expired fire - SAZ (4/18/18 reinstated)

11/14/17- ETPL Renewal Approval Expiration Date. DBailey
6/29/17 updated COA - SAZ
5/5/2016 Suspended for expired fire certificate SHarris Reinstated""",6/10/2015 2:06:46 PM,Approved
8769,The Pro Beauty Academy,45536917200,1655 Oak Tree Road,Suite #285A,Edison,NJ,8820,Middlesex,1655 Oak Tree Road,Suite 285A,Edison,NJ,8820,Aabha,Singh,Director,7323186400,,7328026161,www.probeautyacademy.com,asingh@probeautyacademy.com; carolina@probeautyacademy.com,2,19,,7/31/2021 12:00:00 AM,2,2,2,2,,1,1,1,1,2,1,1,1,www.njtransit.com/pdf/bus/T0801.pdf,Bus # 804 and 819,Metropark Station,,,"""11/16/2021 - ETPL Renewal Application approval expiration date. SH

07/19/2019 - ETPL Renewal Application approval expiration date. SH
8/2/17 suspended for expired COA - SAZ (reinstated. SH)

suspended for expired certificate of approval 4/21/2016 SHarris Reinstated 

suspended for failure to submit student records SHarris""",1/2/2015 11:35:22 AM,Approved
8809,"""E-Z Wheels Driving School, Inc. - Dover""",22375904204,10 W Blackwell Street,2nd Floor,Dover,NJ,7801,Morris,10 W Blackwell Street,2nd Floor,Dover,NJ,7801,Maria C,Rodriguez,Student Coordinator,9737491600,,9738500020,http://ezwheelsdriving.com/,ezwheels@hotmail.com,11,18,,12/31/2021 12:00:00 AM,1,2,1,1,"""Portuguese, Spanish""",1,1,1,1,2,2,1,2,"""NJ Transit Bus # 875, 880""",,NJ Transit Train Morris & Esses to the Dover Station,,,"""10/07/2021 - ETPL Renewal application approval expiration date: AL 

09/26/2019 - ETPL Renewal application approval expiration date. SH

1/3/19 COA expired - SAZ (1/4/19 COA updated/reinstated)

3/13/18 COA expired - SAZ (3/14/18 reinstated)
08/25/17-ETPL Approval Expiration Date. DBailey

7/7/17 - suspended for non student record compliance- records were due no later than 6/30/17. - SAZ (reinstated. SH)
4/6/17 updated COA - SAZ""",10/28/2015 1:06:27 PM,Approved
378,Aviation Institute of Maintenance - PCS,222259297000,80 Moonachie Avenue,Teterboro Airport,Teterboro,NJ,7608,Bergen,80 Moonachie Avenue,Teterboro Airport,Teterboro,NJ,7608,Edward,Bennett,School Director,2012886300,106,2012885609,www.teterboroschool.com,rshulse@teterboroschool.com,1,5,ACCTS,5/31/2021 12:00:00 AM,1,2,2,2,,1,1,1,1,2,2,2,1,"""NJ Transit- Route 76M, NJ Transit #144""",NJ Transit- Route 76L,NJ Transit - Pascack Valley Line,,,"""5/31/21 PCS/ETPL renewal expiration - SAZ

2/24/2021 change in school name - SAZ

10/1/2020 suspended for expired bond - SAZ

7/17/2020 suspended for non-compliance of 1st/2nd quarter student record reporting - SAZ (7/31/2020 annual report received - SAZ)

2/7/2020 suspended for expired fire - SAZ (2/28/2020 reinstated)

5/31/2019-ETPL Renewal Application Expiration Date. JH

2/22/19 suspended for expired fire - SAZ (4/24/19 reinstated)

9/5/18 suspended for expired liability - SAZ (9/13/18 reinstated)

11/09/2017 - ETPL renewal application approval expiration date. SH
6/23/17 suspended for expired COA - SAZ (10/26/17 reinstated)
6/23/2016 suspended for expired tuition bond SHarris Reinstated

05/09/16 suspended due to not reporting student records DBailey""",1/1/2002 12:00:00 AM,Approved
9277,BAYADA Home Health Care - Pennsauken,231943113000,4300 Haddonfield Rd Ste. 120,,Pennsauken,NJ,8109,Select One,4300 Haddonfield RD Ste 120,,Pennsauken,NJ,8109,Stasha,Fraser,Director,8566631622,,8566631664,www.bayada.com,sfraser@bayada.com,3,20,,12/31/2021 12:00:00 AM,1,1,1,2,,1,1,1,2,2,2,2,1,Route 407 from Camden to Pennsauken,,,,,10/20/22 - ETPL approval expiration date - AL,10/20/2020 5:32:13 PM,Approved
5848,T Byrd Computer School - Pleasantville - PCS,223395111000,1501 South New Road,,Pleasantville,NJ,8232,Atlantic,1501 South New Road,,Pleasantville,NJ,8232,Trina,Byrd,Owner/Director,6094849356,110,6094848777,www.tbyrdcenter.com,"""byrd.trina@gmail.com, byrd.rick28@gmail.com""",1,5,ACCETP,12/31/2021 12:00:00 AM,1,1,2,2,,1,1,1,1,2,1,1,1,509,,None available,,,"""12/31/21 PCS/ETPL renewal expiration - SAZ

9/21/2020 suspended for expired fire - SAZ (10/5/2020 temporarily reinstated pending correspondence from fire department - SAZ)

12/31/2019 - ETPL renewal application approval expiration date. SH

4/22/19 suspended for expired TPB - SAZ (4/24/19 reinstated)

8/24/18 suspended for expired fire - SAZ (9/10/18 reinstated)

1/17/18 COA expired - SAZ (4/12/18 updated)
11/14/2017 - ETPL renewal application approval expiration date. SH

11/10/2016 - ETPL renewal application denied.  COA, section J's, section k, were missing.  Pages 9-12 were not signed and dated. Student records are not updated for any of the programs. SH

3/7/17 suspended for expired COA - SAZ (COA Updated SAZ) Reinstated. SH

5/13/2016 suspended for expired liability insurance SHarris Reinstated

5/3/2016 suspended no current bond on file SHarris Reinstated 

suspended because certification expired on 12/31/15. DBAILEY/ Reinstated received certification via fax. DBAILEY""",3/17/2003 12:13:54 PM,Approved
8925,Unite Here Local 54 - APPRENTICESHIP,210588583,1014 Atlantic Ave,,Atlantic,NJ,8401,Select One,1014 Atlantic Ave,,Atlantic,NJ,8401,Karen,Campise,YTTW Program Director,6093445400,145,6095725119,http://www.uniteherelocal54.org/,kcampise@uniteherelocal54.com,39,7,RAPIDS #NJ001010006,,1,2,2,2,,1,1,1,1,2,2,2,1,n/a,,n/a,,,"""12/01/2019 - ETPL Initial Registered Apprenticeship Application approval expiration date. SH
7/7/17 reinstated - Student records uploaded - SAZ
suspended for non student record compliance- records were due no later than 6/30/17. -je""",12/1/2016 8:39:46 AM,Approved
9280,Goode Education Group - PCS,475041662000,26 Park Street,Suite 2210,Montclair,NJ,7042,Essex,26 Park Street,Suite 2210,Montclair,NJ,7042,Dr. Juail,Goode,Director,9083673939,,0,www.goodeeducationgroup.com,"""info@goodeeducationgroup.com, jgoode@goodeeducationgroup.com""",1,5,,11/30/2022 12:00:00 AM,2,1,1,2,,1,1,2,1,2,2,1,2,,,,,,11/30/2022 PCS/ETPL initial application expiration - SAZ,11/24/2020 12:59:17 PM,Approved
511,Women's Rights Information Center - PCS,237453339000,108 West Palisade Avenue,,Englewood,NJ,7631,Bergen,108 West Palisade Avenue,,Englewood,NJ,7631,Lillian,Corcoran,Executive Director,2015681166,118,2015688813,www.womensrights.org,Lcorcoran@womensrights.org,1,5,Microsoft Corporation,6/30/2021 12:00:00 AM,1,2,1,2,,1,1,1,1,2,2,1,1,"""178,780,166,175,186,171""",,None Available,,,"""06/30/2021 -ETPL Renewal Application approval expiration date. SH

6/16/2020 no students to report for 2nd quarter - SAZ

10/11/19 suspended for expired fire - SAZ (11/13/19 reinstated)

06/30/2019 -ETPL Renewal Application approval expiration date. SH

10/18/18 suspended for expired fire - SAZ (12/3/18 reinstated)
4/9/18 suspended for expired TPB - SAZ (8/10/18 reinstated)

02/13/2018 - ETPL Renewal Application approval expiration date. SH
10/24/17 suspended for expired fire, liability - SAZ (12/1/17 reinstated)
8/31/17 TP to PCS - SAZ
Updated cert exp date to 5/31/17 on 9/9/16. DBarry. 
Provider did not renew approval. Suspended from ETPL on 3/7/14. MS
Provider renewed approval.  Sent back live on 8/26/14. MS
Suspended 8/31/15 failure to 

report student records for 

letter of approval rec'd unsuspended claim on 05/18/2017""",1/1/2002 12:00:00 AM,Approved
8943,"""Driving Academy, Inc.""",81376584100,200 East Edgar Rd,,Linden,NJ,7036,Union,200 East Edgar Rd,,Linden,NJ,7036,Jonathan,Marques,Director,9085253609,,9085253306,www.cdldrivingacademy.com,info@cdldrivingacademy.com,11,18,,12/31/2021 12:00:00 AM,1,1,1,1,Portuguese,1,2,1,1,2,2,1,1,n/a,,Linden Train Station,,,"""01/30/2022 - ETPL Renewal Application approval expiration date. SH

3/19/20 ETPL Application approval expiration - AL

1/3/19 COA expired - SAZ (2/4/19 reinstated)

10/17/18 non-compliance of 3rd quarter reporting - SAZ (10/24/18 reinstated)
3/13/18 COA expired - SAZ (3/15/18 email from MVC confirming certification)

02/07/2018 - ETPL Initial Application approval expiration date. SH""",2/7/2017 1:47:45 PM,Approved
279,"""Jersey Tractor Trailer Training, Inc.""",223497003000,1275 Valley Brook Ave.,,Lyndhurst,NJ,7071,Bergen,1275 Valley Brook Ave.,,Lyndhurst,NJ,7071,Jerry,Corvelli,Controller,2014600875,,2014607824,www.Jerseytractorcdl.com,jerryjerseytractor@gmail.com,11,18,,12/31/2021 12:00:00 AM,2,2,1,2,,1,1,1,2,2,2,1,1,New Jersey Transit #161 Paterson Plank Rd and Jersey Transit #190 Passaic,Bus # 76 and # 192,New Jersey Transit Station Square Rutherford,,,"""01/11/2023 - ETPL Renewal Application Approval Expiration Date. JH.
 01/16/2021 - ETPL Renewal application approval expiration date. SH

1/29/2020 suspended for expired COA - SAZ

1/3/19 COA expired - SAZ (1/4/19 COA updated/reinstated)

1/9/18 - COA/ETPL Renewal expired - SAZ
12/09/2017 - ETPL Renewal application approval expiration date. SH

suspended due to expired certification on 12/31/2014 DBAILEY noted on 04/20/16
Certificate approval rec'd 4/21/2016 dkelly""",1/1/2002 12:00:00 AM,Approved
8931,"""B and B Power Wash & Paint Job Training, Inc. - PCS""",901111351,Atlantic Institute of Technology,5080 Atlantic Avenue,Mays Landing,NJ,8830,Atlantic,207 Sycamore Avenue,,Egg Harbor Township,NJ,8234,Harriet,Saxon,CEO,6096457572,,0,b-b-paint-training.com,Purnell231@gmail.com,1,5,,8/31/2021 12:00:00 AM,1,2,2,2,,1,1,1,1,2,2,1,1,By Atlantic County Institute of Technology,,,,,"""8/31/21 PCS/ETPL renewal expiration - SAZ

9/21/2020 suspended for expired fire - SAZ (11/12/2020 reinstated)

1/9/2020 no students to report for 4th quarter - SAZ
9/20/19 no students to report for 3rd quarter - SAZ

08/31/19-ETPL Renewal Approval Expiration Date. DBailey

7/3/19 suspended for expired fire - SAZ (8/2/19 reinstated)

6/28/19 no students to report for 2nd quarter - SAZ

3/18/19 no student to report for 1st quarter - SAZ

9/19/18 no students to report for 3rd quarter per provider - SAZ

6/27/18 suspended for expired fire - SAZ (7/31/18 reinstated)

12/19/2017 - ETPL Initial Application approval expiration date. SH

9/7/17 PCS approval - SAZ""",12/19/2016 1:40:08 PM,Approved
8914,Rowan College at Burlington County Adult Basic Education and ESL - WIOA Title 2,221825538009,200 Campbell Drive,Suite 201,Willingboro,NJ,8046,Burlington,200 Campbell Drive,Suite 201,Willingboro,NJ,8046,Kelly,West,Driector,8562914244,,8562914244,www.rcbc.edu,kwest@rcbc.edu,16,38,,6/30/2021 12:00:00 AM,2,2,2,2,,1,1,1,1,2,1,1,2,"""NJ Transit 409, 413""","""Burlink 1, Burlink 2""",NJ Transit River Line from Camden to Trenton,,,"""8/26/2020 - Per J. Cohen, FY 20/21 approved WIOA Title 2 Lead Agency - SAZ

7/8/19 - Per J. Cohen, FY19/20 Title II lead agency, per J. Cohen - SAZ

7/2/18 FY18/19 Title II provider, per J. Cohen - SAZ

11/19/2016 -ETPL Provisional Approval Expiration Date. DBailey

9/25/17 approved for FY 17/18 Title II - per J. Cohen - SAZ

Title II Lead Agency FY2016/17
Partner agencies:
Burlington Co. College - Bordentown; Literacy NJ - Burlington County Programs; Burlington Co. College - Willingboro Adult School""",10/19/2016 3:30:00 PM,Approved
8926,United Training Academy - Iselin - PCS,851306939000,485 E Route 1 South,"""Building E, 1st Floor""",Iselin,NJ,8830,Middlesex,485 E Route 1 South,"""Building E, 1st Floor""",Iselin,NJ,8830,Greg,Keigwin,Director,7327671366,,7327671002,www.academy.unitedtraining.com,kayla.krahn@unitedtraining.com,1,5,,6/30/2021 12:00:00 AM,1,1,2,2,,1,1,1,1,2,2,1,1,NJ Transit # 48 - MetroPark Station - Iselin NJ,NJ Transit # 801-805 - MetroPark Station - Iselin NJ,NJ Tranist: Northeast Corridor - MetroPark Station - Iselin NJ,Amtrak - MetroPark Station - Iselin NJ,,"""6/30/21 PCS/ETPL renewal expiration - SAZ

11/1/2020 suspended for expired fire - SAZ (12/10/2020 reinstated)

1/2/2020 suspended for expired liability - SAZ (1/9/2020 reinstated)

11/4/19 suspended for expired fire - SAZ (11/22/19 reinstated)

06/30/2019 - ETPL Renewal Application Approval Expiration date. JH

3/29/19 suspended for expired TPB - SAZ (4/8/19 reinstated)

10/5/18 updated Director - SAZ

12/02/2017 - ETPL Initial application approval expiration date. SH

11/28/17 Change in Location - SAZ

7/5/17 COA expired - SAZ""",12/2/2016 3:03:19 PM,Approved
3268,"""Sun Institute, Inc. - PCS""",223659778000,"""111 Homans Ave., #202""",,Closter,NJ,7624,Bergen,111 Homans Ave. #202,,Closter,NJ,7624,Kristen,Sommer,Co-Director,2012259000,,2012250086,www.suninstitute.com,info@njintegrativehealth.com,1,5,"""AMTA, ABMP, NCBTMB""",12/31/2021 12:00:00 AM,2,2,2,1,Korean,1,1,1,2,2,2,1,2,11A and 11C (Red and Tan Lines),165 (NJ Transit),Pascack Valley Line,,,"""12/31/2021 - PCS/ETPL renewal expiration - SAZ

10/31/2020 suspended for expired fire, liability - SAZ (1/20/2021 reinstated)

7/14/2020 no students to report for 1st/2nd quarters - SAZ

12/31/19-ETPL Renewal Approval Expiration Date.DBailey

9/17/19 suspended for expired fire - SAZ; 11/4/19 expired liability - SAZ

3/25/19 suspended for expired lease - SAZ (6/3/19 reinstated)

12/20/18 suspended for expired TPB, fire - SAZ (2/5/19 reinstated)

02/02/2018- ETPL Renewal application approval expiration date. SH
1/17/18 COA - SAZ
7/7/17 - suspended for non student record compliance- records were due no later than 6/30/17. - SAZ (7/19/17 Per email, students exit 7/2017)
reinstated. Certificate of approval received. 4/11/2016 SHarris

School name changed. Formerly known as Dahn Healing Institute of Massage Therapy. Suspended on 03/18/16 due to Cert Exp. as of 12/31/15. DBAILEY/ Certification was updated exp. is 12/31/16 DBAILEY04/13/16""",4/18/2002 2:23:02 PM,Approved
114,Raritan Valley Community College - Non Credit,221815636001,118 Lamington Road,,Branchburg,NJ,8876,Somerset,PO Box 3300,,Somerville,NJ,8876,Aubrey,Flanagan,"""Manager, Professional Development""",9085261200,8529,9087724716,www.raritanval.edu,aubrey.flanagan@raritanval.edu,16,3,,,1,1,1,1,Spanish,1,1,1,1,1,2,1,1,"""Somerset County shuttle CAT 1-R, CAT 2-R, CAT 3-R Monday - Friday $2 per ride""",Hunterdon County LINK $2 unlim.boarding 8:05 am/10:05 am/1:05 pm/3:05 pm/5:05 pm,NJ Transit North Branch Station 1 mile from College,Free Ride Home with RideWise,,"""02/28/2022 - ETPL Renewal Approval Expiration Date. JH
02/28/2020-ETPL Renewal Approval Expiration Date. JH

12/20/2017 - ETPL Renewal Approval Expiration Date. DBarry.

suspended for non student record compliance- records were due no later than 6/30/17. -je (8/24/17 reinstated SAZ)""",1/1/2002 12:00:00 AM,Approved
8145,Hudson County Schools of Technology - Jersey City Center,222190023501,525 Montgomery Street (campus 2),,Jersey City,NJ,7302,Hudson,525 Montgomery Street,,Jersey City,NJ,7302,Alicia,Abraham,Director of Career and Technical Education,2016626791,,2014326319,http://www.hcstonline.org/hudsontechnical/,hudsontechnical@hcstonline.org; aabraham@hcstonline.org,18,2,,,1,2,1,2,,1,1,1,1,2,1,1,1,Throughout Hudson County,Free school buses are available to all Post-Secondary and Adult students,,,,"""12/09/21 - ETPL Renewal Approval Expiration Date. JH

12/7/19- ETPL Renewal Approval Expiration. DBailey

12/4/17 Email undeliverable - SAZ
11/16/2017 - ETPL renewal application approval expiration date. SH

suspended for non student record compliance- records were due no later than 6/30/17. -je (7/17/17 reinstated SAZ)""",2/25/2008 2:55:24 PM,Approved
